,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
126,1600,,,,1699,,,,,A Fool with an Owl and a Woman at a Window Print Engraving,Engraving,https://images.metmuseum.org/CRDImages/dp/original/DP879150.jpg,Pieter de Jode II,"Flemish, 1606–ca. 1674",,,,
127,1820,,,,1876,,,,,"Studies for a figure composition Drawing Black chalk and pen and brown ink on wove paper (possibly a page from a Salon catalogue: numbered page 6, with cat. nos. 26-34)","Black chalk and pen and brown ink on wove paper (possibly a page from a Salon catalogue: numbered page 6, with cat. nos. 26-34)",https://images.metmuseum.org/CRDImages/dp/original/DP805949.jpg,Narcisse-Virgile Diaz de la Peña,"French, Bordeaux 1808–1876 Menton",,,,
138,1634,,,,1666,,,,,Dreaming Cat Hanging scroll Hanging scroll; ink on paper,Hanging scroll; ink on paper,https://images.metmuseum.org/CRDImages/as/original/DP-16218-026.jpg,Hōzōbō Shinkai,"Japanese, 1626–1688",,,,
143,1755,,,,1765,,,,,Seated cat Figure Soft-paste porcelain,Soft-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/210281.jpg,Derby Porcelain Manufactory,"British, 1751–1785",,,,
153,1635,,,,1675,,,,,Cat concert Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP884854.jpg,Jacques Dassonville,"French, ca. 1619–ca. 1670",,,,
157,1823,,,,1896,,,,,Cat and Butterfly Hanging scroll Hanging scroll; ink and color on paper,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DT8382.jpg,Xugu (Zhu Huairen),"Chinese, 1823–1896",,,,
159,1905,,,,1909,,,,,Cat and Sweetpeas Autochrome Autochrome,Autochrome,https://images.metmuseum.org/CRDImages/ph/original/DP170697.jpg,Moss,British,,,,
160,1667,,,,1669,,,,,A Cat Stealing Fish Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP-1149-001.jpg,Giuseppe Recco,"Italian, Neapolitan, 1634–1695",,,,
161,1887,,,,1892,,,,,Cat Seen from Behind Album leaf Album leaf; ink and color on silk,Album leaf; ink and color on silk,https://images.metmuseum.org/CRDImages/as/original/DP211876.jpg,Kawabata Gyokushō,"Japanese, 1842–1913",,,,
162,1869,,,,1869,,,,,Cat and Flowers Print Etching and aquatint; third (final) state; posthumous edition,Etching and aquatint; third (final) state; posthumous edition,https://images.metmuseum.org/CRDImages/dp/original/DP815325.jpg,Edouard Manet,"French, Paris 1832–1883 Paris",,,,
164,1877,,,,1897,,,,,Cat Catching a Frog Album leaf Album leaf; ink and color on silk,Album leaf; ink and color on silk,https://images.metmuseum.org/CRDImages/as/original/DT5300.jpg,Kawanabe Kyōsai 河鍋暁斎,"Japanese, 1831–1889",,,,
167,1888,,,,1888,,,,,Teasing the Cat Print Woodblock print; ink and color on paper,Woodblock print; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP143321.jpg,Tsukioka Yoshitoshi,"Japanese, 1839–1892",,,,
172,1546,,,,1546,,,,,Girl with a Cat Print Etching with engraving,Etching with engraving,https://images.metmuseum.org/CRDImages/dp/original/DP822115.jpg,Jan Cornelisz Vermeyen,"Netherlandish, Beverwijk ca. 1504–1559 Brussels",,,,
174,1714,,,,1752,,,,,Cat atop a tomb Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP884581.jpg,Charles Antoine Coypel,"French, Paris 1694–1752 Paris",,,,
175,1820,,,,1850,,,,,Black Cat and Narcissus Hanging scroll Hanging scroll; ink and color on paper,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DT234041.jpg,Zhu Ling,"Chinese, active ca. 1820–1850",,,,
178,1888,,,,1892,,,,,Cat Watching a Spider Album leaf Album leaf; ink and color on silk,Album leaf; ink and color on silk,https://images.metmuseum.org/CRDImages/as/original/DP211861.jpg,Oide Tōkō,"Japanese, 1841–1905",,,,
181,1812,,,,1812,,,,,A Cat in Pattens Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883802.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
192,1807,,,,1868,,,,,Cat Tails and Moon Album leaf Album leaf; lacquer on silver paper,Album leaf; lacquer on silver paper,https://images.metmuseum.org/CRDImages/as/original/DP205541.jpg,Shibata Zeshin,"Japanese, 1807–1891",,,,
196,1861,,,,1861,,,,,"A Cat Curled Up, Sleeping Drawing Graphite, on ivory-colored paper","Graphite, on ivory-colored paper",https://images.metmuseum.org/CRDImages/dp/original/DP807593.jpg,Edouard Manet,"French, Paris 1832–1883 Paris",,,,
197,1793,,,,1794,,,,,A Woman and a Cat Print One sheet of a triptych of woodblock prints; ink and color on paper,One sheet of a triptych of woodblock prints; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP141291.jpg,Kitagawa Utamaro,"Japanese, ca. 1754–1806",,,,
200,1745,,,,1765,,,,,Woman Seated Holding a Cat Print Woodblock print; ink and color on paper,Woodblock print; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP123659.jpg,Torii Kiyohiro,"Japanese, active ca. 1737–76",,,,
203,1838,,,,1848,,,,,The Favorite Cat Print Hand-colored lithograph,Hand-colored lithograph,https://images.metmuseum.org/CRDImages/dp/original/DT258734.jpg,Nathaniel Currier,"American, Roxbury, Massachusetts 1813–1888 New York",,,,
205,1540,,,,1560,,,,,Candelabra Grotesque with a Cat Drawing Ornament & Architecture Pen and brown ink over black chalk underdrawing; ruled line along right border of sheet,Pen and brown ink over black chalk underdrawing; ruled line along right border of sheet,https://images.metmuseum.org/CRDImages/dp/original/DP800648.jpg,Andrés de Melgar,"Spanish, documented S. Domingo de la Calzada, died after 1554",,,,
207,1813,,,,1813,,,,,"The Favourite Cat and De La-Tour Painter Print Etching, engraving and stipple","Etching, engraving and stipple",https://images.metmuseum.org/CRDImages/dp/original/MM59517.jpg,John Kay,"British, Dalkeith, Scotland 1742–1826 Edinburgh",,,,
208,1811,,,,1811,,,,,Rural Sports: Cat in a Bowl Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883745.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
211,1787,,,,1787,,,,,A Boy with a Cat—Morning Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP169648.jpg,Thomas Gainsborough,"British, Sudbury 1727–1788 London",,,,
214,1869,,,,1869,,,,,"Cat and Flowers, from ""Les Chats"" Print Etching and aquatint in brown ink on tan wove paper, final state of three, third edition (Mégnin)","Etching and aquatint in brown ink on tan wove paper, final state of three, third edition (Mégnin)",https://images.metmuseum.org/CRDImages/dp/original/DP815324.jpg,Edouard Manet,"French, Paris 1832–1883 Paris",,,,
219,1769,,,,1769,,,,,A Young Girl holding a Cat Print Crayon-manner engraving printed in sanguine ink; second state of two,Crayon-manner engraving printed in sanguine ink; second state of two,https://images.metmuseum.org/CRDImages/dp/original/DP825472.jpg,Louis Marin Bonnet,"French, Paris 1736–1793 Saint-Mandé, Val-de-Marne",,,,
220,1860,,,,1860,,,,,Letting the Cat Out of the Bag!! Print Lithograph,Lithograph,https://images.metmuseum.org/CRDImages/dp/original/DP-21415-001.jpg,Louis Maurer,"American (born Germany), Biebrich 1832–1932 New York",,,,
221,1832,,,,1835,,,,,"Embroidered Carpet Carpet Wool, embroidered in chain-stitch","Wool, embroidered in chain-stitch",https://images.metmuseum.org/CRDImages/ad/original/DT823.jpg,Zeruah H. Guernsey Caswell,1805–ca. 1895,,,,
223,1784,,,,1819,,,,,Portraits of Eminent Scotch Characters Album Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/MM59517.jpg,John Kay,"British, Dalkeith, Scotland 1742–1826 Edinburgh",,,,
226,1594,,,,1594,,,,,Two Genii with a Cat and a Rat print ornament & architecture Engraving,Engraving,https://images.metmuseum.org/CRDImages/dp/original/DP837163.jpg,Nicolaes de Bruyn,"Netherlandish,  Antwerp 1571–1656 Rotterdam",,,,
229,1665,,,,1675,,,,,Merry Company on a Terrace Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP146455.jpg,Jan Steen,"Dutch, Leiden 1626–1679 Leiden",,,,
233,1861,,,,1861,,,,,"A Cat Resting on All Fours, Seen from Behind Drawing Graphite, on ivory-colored paper","Graphite, on ivory-colored paper",https://images.metmuseum.org/CRDImages/dp/original/DP807592.jpg,Edouard Manet,"French, Paris 1832–1883 Paris",,,,
235,1850,,,,1914,,,,,Decoration for a Plate: A Cat Hunting a Crab Print Etching with watercolor,Etching with watercolor,https://images.metmuseum.org/CRDImages/dp/original/DP814346.jpg,Félix Bracquemond,"French, Paris 1833–1914 Sèvres",,,,
241,1611,,,,1621,,,,,Atalanta and Meleager Painting Oil on wood,Oil on wood,https://images.metmuseum.org/CRDImages/ep/original/DP261342.jpg,Peter Paul Rubens,"Flemish, Siegen 1577–1640 Antwerp",,,,
242,1752,,,,1799,,,,,Cat with Poems: Pictorial Parody of Priest Saigyo's Legend Hanging scroll Hanging scroll; ink and color on paper,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/LC-1971_190_jps-015.jpg,Matsumura Goshun,"Japanese, 1752–1811",,,,
243,1640,,,,1649,,,,,Tobit Burying the Dead Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DT6144.jpg,Andrea di Lione,"Italian, Naples 1610–1685 Naples",,,,
245,1870,,,,1879,,,,,[Japanese Woman in Traditional Dress Posing with Cat and Instrument] Photograph Albumen silver print from glass negative with applied color,Albumen silver print from glass negative with applied color,https://images.metmuseum.org/CRDImages/ph/original/DP155412.jpg,Suzuki Shin'ichi,"Japanese, 1835–1919",,,,
246,1875,,,,1885,,,,,A woman dancing with a cat in a suit Print Zincograph,Zincograph,https://images.metmuseum.org/CRDImages/dp/original/DP869409.jpg,José Guadalupe Posada,"Mexican, 1851–1913",,,,
248,1753,,,,1758,,,,,"Miniature seal in the form of a cat Seal Soft-paste porcelain, carnelian, metal, gilt metal","Soft-paste porcelain, carnelian, metal, gilt metal",https://images.metmuseum.org/CRDImages/es/original/DP-470-003.jpg,Chelsea Porcelain Manufactory,"British, 1745–1784, Red Anchor Period, ca. 1753–58",,,,
250,1733,,,,1743,,,,,"Box in the form of a cat Box Soft-paste porcelain, silver","Soft-paste porcelain, silver",https://images.metmuseum.org/CRDImages/es/original/205232.jpg,Saint-Cloud factory,"French, mid-1690s–1766",,,,
251,1663,,,,1664,,,,,The Dissolute Household Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP146465.jpg,Jan Steen,"Dutch, Leiden 1626–1679 Leiden",,,,
254,1840,,,,1860,,,,,Scene from a Ghost Story: The Okazaki Cat Demon Print Diptych of woodblock prints; ink and color on paper,Diptych of woodblock prints; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP146821.jpg,Utagawa Kuniyoshi,"Japanese, 1797–1861",,,,
255,1799,,,,1799,,,,,"A Pygmy Cat Hunt, Borders for Rooms & Halls, Plate 9 Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884451.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
260,1719,,,,1729,,,,,The Declaration of Love Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP-19651-001.jpg,Jean François de Troy,"French, Paris 1679–1752 Rome",,,,
261,1745,,,,1747,,,,,The Meeting of Antony and Cleopatra Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DT293615.jpg,Giovanni Battista Tiepolo,"Italian, Venice 1696–1770 Madrid",,,,
262,1780,,,,1784,,,,,"The Villa Loredan, Paese Painting Oil on canvas",Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/Wrightsman24.jpg,Francesco Guardi,"Italian, Venice 1712–1793 Venice",,,,
263,1730,,,,1739,,,,,"Campo Sant'Angelo, Venice Painting Oil on canvas",Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP-19650-001.jpg,Canaletto (Giovanni Antonio Canal),"Italian, Venice 1697–1768 Venice",,,,
264,1855,,,,1865,,,,,"A Domestic Cat Playing with a Garter Snake, from ""Eaux-Fortes Animaux & Paysages"" Print Etching",Etching,https://images.metmuseum.org/CRDImages/dp/original/DP874277.jpg,Karl Bodmer,"Swiss, Riesbach 1809–1893 Barbizon",,,,
265,1770,,,,1790,,,,,Young Lady Toying with the Tassel of Her Bed–net while a Cat Plays at Her Feet Print Woodblock print; ink and color on paper,Woodblock print; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP144629.jpg,Isoda Koryūsai,"Japanese, 1735–ca. 1790",,,,
266,1824,,,,1826,,,,,Woman Tuning a Shamisen and a Cat Looking at its Own Reflection Print Part of an album of woodblock prints (surimono); ink and color on paper,Part of an album of woodblock prints (surimono); ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP139529.jpg,Yashima Gakutei,"Japanese, 1786?–1868",,,,
268,1650,,,,1675,,,,,The Cat Calls Renard to Appear before the Tribunal from Hendrick van Alcmar's Renard The Fox Print Engraving; third state of four,Engraving; third state of four,https://images.metmuseum.org/CRDImages/dp/original/DP837699.jpg,Allart van Everdingen,"Dutch, Alkmaar 1621–1675 Amsterdam",,,,
269,1650,,,,1675,,,,,The Cat Climbs a Barn from Hendrick van Alcmar's Renard The Fox Print Engraving; third state of four,Engraving; third state of four,https://images.metmuseum.org/CRDImages/dp/original/DP837702.jpg,Allart van Everdingen,"Dutch, Alkmaar 1621–1675 Amsterdam",,,,
271,1787,,,,1788,,,,,Manuel Osorio Manrique de Zuñiga (1784–1792) Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP287624.jpg,Goya (Francisco de Goya y Lucientes),"Spanish, Fuendetodos 1746–1828 Bordeaux",,,,
272,1900,,,,1900,,,,,"Three dogs playing at center, with a cat and a dog watching in the background Print Etching",Etching,https://images.metmuseum.org/CRDImages/dp/original/DP878193.jpg,Lorenz Frølich,"Danish, Copenhagen 1820–1908 Hellerup",,,,
273,1638,,,,1648,,,,,A Kitchen Painting Oil on wood,Oil on wood,https://images.metmuseum.org/CRDImages/ep/original/DP145945.jpg,Hendrick Sorgh,"Dutch, Rotterdam 1609/11–1670 Rotterdam",,,,
274,1858,,,,1888,,,,,The Return to the Fold Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP-23076-001.jpg,Anton Mauve,"Dutch, Zaandam 1838–1888 Arnhem",,,,
284,1841,,,,1844,,,,,Emma Homan Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ad/original/DT2024.jpg,John Bradley,active 1832–47,,,,
286,1490,,,,1515,,,,,"Candelabra grotesque with four children with a cat and a dog, from a series of twelve candelabra grotesques Print Ornament & architecture Engraving",Engraving,https://images.metmuseum.org/CRDImages/dp/original/DP835606.jpg,Giovanni Antonio da Brescia,"Italian, active ca. 1490–ca. 1525",,,,
289,1803,,,,1803,,,,,"A Catamaran, or an Old Maid's Nursery Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884723.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
290,1504,,,,1504,,,,,Adam and Eve Print Engraving,Engraving,https://images.metmuseum.org/CRDImages/dp/original/DP816026.jpg,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",,,,
291,1503,,,,1513,,,,,Portrait of a Young Man; (reverse) Girl Making a Garland Painting Oil on poplar,Oil on poplar,https://images.metmuseum.org/CRDImages/ep/original/DP164793.jpg,Hans Süss von Kulmbach,"German, Kulmbach ca. 1480–1522 Nuremberg",,,,
295,1728,,,,1730,,,,,The Silver Tureen Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP356136.jpg,Jean Siméon Chardin,"French, Paris 1699–1779 Paris",,,,
297,1909,,,,1909,,,,,"The Black Cat, for Edgar Allan Poe's “Selected Tales of Mystery,” 1909 Drawing Watercolor and gouache (bodycolor)",Watercolor and gouache (bodycolor),https://images.metmuseum.org/CRDImages/dp/original/DP884357.jpg,John Byam Liston Shaw,"British, Ferndale, Madras, India, 1872–1919 London",,,,
299,1815,,,,1815,,,,,Breaking Up of the Blue Stocking Club Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884490.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
300,1815,,,,1815,,,,,Breaking Up of the Blue Stocking Club Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884489.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
305,1806,,,,1812,,,,,A Maiden Aunt Smelling Fire Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884693.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
306,1806,,,,1812,,,,,A Maiden Aunt Smelling Fire Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP884692.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
307,1810,,,,1810,,,,,A Hitt at Backgammon Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884770.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
308,1810,,,,1810,,,,,A Hitt at Backgammon Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884769.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
309,1786,,,,1786,,,,,An Ordinance Dream or Planning of Fortifications Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884388.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
310,1786,,,,1786,,,,,An Ordinance Dream or Planning of Fortifications Print Etching,Etching,https://images.metmuseum.org/CRDImages/dp/original/DP884387.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
311,1807,,,,1807,,,,,"A White Sergeant giving the Word of Command: ""Why don't you come to bed, you drunken sot?"" Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884663.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
312,1807,,,,1807,,,,,"A White Sergeant giving the word of command - ""Come to Bed you drunken sot"" Print Hand-colored etching; reverse copy",Hand-colored etching; reverse copy,https://images.metmuseum.org/CRDImages/dp/original/DP884664.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
313,1466,,,,1467,,,,,"The Letter E, from The Alphabet Print Engraving Engraving",Engraving,https://images.metmuseum.org/CRDImages/dp/original/DP832292.jpg,Master ES,"German, active ca. 1450–67",,,,
314,1815,,,,1815,,,,,Neighbourly Refreshment Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884186.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
316,1895,,,,1895,,,,,May Belfort Print Lithograph printed in four colors,Lithograph printed in four colors,https://images.metmuseum.org/CRDImages/dp/original/DP230334.jpg,Henri de Toulouse-Lautrec,"French, Albi 1864–1901 Saint-André-du-Bois",,,,
317,1800,,,,1900,,,,,Woman Playing with a Cat Print Etching printed in red ink on wove paper,Etching printed in red ink on wove paper,https://images.metmuseum.org/CRDImages/dp/original/DP826403.jpg,François Boucher,"French, Paris 1703–1770 Paris",,,,
318,1814,,,,1814,,,,,"Quarter Day, or Clearing the Premises without Consulting Your Landlord Print Hand-colored etching",Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP883985.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
319,1880,,,,1880,,,,,"A Merry Christmas (published in ""Harper's Weekly,"" January 3, 1880) Print Relief print and electrotype",Relief print and electrotype,https://images.metmuseum.org/CRDImages/dp/original/DP884633.jpg,Thomas Nast,"American (born Germany), Landau 1840–1902 Guayaquil",,,,
320,1619,,,,1664,,,,,Study of a Sleeping Cat Drawing Black chalk,Black chalk,https://images.metmuseum.org/CRDImages/dp/original/DP837794_ff.jpg,Jan Miel,"Flemish, Beveren 1599–1664 Turin",,,,
321,1815,,,,1815,,,,,Vive Le Roi! Vive L'Empereur. Vive Le Diable. Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP884183.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
322,1894,,,,1894,,,,,"The Black Cat, for Edgar Allan Poe’s “Tales of Mystery and the Imagination,” Chicago, 1895-96 Drawing Pen, brush and India ink over graphite","Pen, brush and India ink over graphite",https://images.metmuseum.org/CRDImages/dp/original/DP-21168-001.jpg,Aubrey Vincent Beardsley,"British, Brighton, Sussex 1872–1898 Menton",,,,
323,1530,,,,1540,,,,,"Studies of a Gentian, Moth, Birds, Cats, Interlacing Motif, and Greek Frets (recto); Ornamental Studies with Figures (verso) Drawing Pen and two colors of brown ink, brush and watercolor over leadpoint or black chalk (recto); pen and light brown ink over leadpoint or black chalk (verso)","Pen and two colors of brown ink, brush and watercolor over leadpoint or black chalk (recto); pen and light brown ink over leadpoint or black chalk (verso)",https://images.metmuseum.org/CRDImages/dp/original/DP809960.jpg,"Giorgio di Giovanni (""Giorgio da Siena"")","Italian, documented Siena 1538–died 1559 Siena",,,,
325,1700,,,,1799,,,,,"The Third Princess with her Cat, from the ""New Herbs I"" (Wakana I)
 chapter The Tale of Genji (Genji monogatari} Hanging scroll Hanging scroll; ink and color on silk",Hanging scroll; ink and color on silk,https://images.metmuseum.org/CRDImages/as/original/DP-12232-024.jpg,Tsukioka Settei,"Japanese, 1710–1786",,,,
326,1868,,,,1869,,,,,"Cats Print Etching on blue laid paper, only state","Etching on blue laid paper, only state",https://images.metmuseum.org/CRDImages/dp/original/DP815335.jpg,Edouard Manet,"French, Paris 1832–1883 Paris",,,,
328,1700,,,,1868,,,,,Onna San no Miya (the Third Princess) Print Woodblock print; ink and color on paper,Woodblock print; ink and color on paper,https://images.metmuseum.org/CRDImages/as/original/DP118786.jpg,Suzuki Harunobu,"Japanese, 1725–1770",,,,
329,1705,,,,1725,,,,,Parody of the Legend of Xu You and Chao Fu Print Monochrome woodblock print (sumie); ink on paper,Monochrome woodblock print (sumie); ink on paper,https://images.metmuseum.org/CRDImages/as/original/DP124510.jpg,Okumura Masanobu,"Japanese, 1686–1764",,,,
330,1753,,,,1753,,,,,Cat Surveying Fish and Fowl on a Table Drawing Black chalk,Black chalk,https://images.metmuseum.org/CRDImages/dp/original/DP805582.jpg,Jean Siméon Chardin,"French, Paris 1699–1779 Paris",,,,
331,1807,,,,1807,,,,,A Brace of Full-grown Puppies: or My Dog and Me Print Hand-colored etching,Hand-colored etching,https://images.metmuseum.org/CRDImages/dp/original/DP885267.jpg,Thomas Rowlandson,"British, London 1757–1827 London",,,,
336,1893,,,,1897,,,,,[Four Cats] Photograph Platinum print,Platinum print,https://images.metmuseum.org/CRDImages/ph/original/DT8254.jpg,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania",,,,
342,1600,,,,1640,,,,,"Design for a table with a cat mask and goat legs Drawing ; Ornament and Architecture Pen and brown ink, brush and gray wash","Pen and brown ink, brush and gray wash",https://images.metmuseum.org/CRDImages/dp/original/DP804857.jpg,John Payne,"British, active 1600–1640 died London",,,,
343,1882,,,,1882,,,,,"Pussy's Perquisite, from ""Illustrated London News,"" Christmas Number Print Wood engraving",Wood engraving,https://images.metmuseum.org/CRDImages/dp/original/DP861775.jpg,Robert François Richard Brend'amour,"German, Aix-en-Chapelle 1831–1915",,,,
346,1660,,,,1670,,,,,The Lacemaker Painting Oil on canvas,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/original/DP-20394-001.jpg,Bernhard Keil,"Danish, 1624–1687",,,,
348,1610,,,,1620,,,,,"Enigmes Joyeuses pour les Bons Esprits, Plate 1 Prints Copper engraving",Copper engraving,https://images.metmuseum.org/CRDImages/dp/original/DP862842.jpg,Jan van Haelbeeck,"Flemish, active Paris (and Copenhagen?), ca. 1600–1630, died Paris, ca. 1630",,,,
349,1855,,,,1865,,,,,"Wild Cat, from ""Eaux-Fortes Animaux & Paysages"" Print Etching",Etching,https://images.metmuseum.org/CRDImages/dp/original/DP874276.jpg,Karl Bodmer,"Swiss, Riesbach 1809–1893 Barbizon",,,,
355,1880,,,,1895,,,,,"Fan Design with Cats and Sunflowers Drawing Pen and black ink over black chalk or graphite, gouache and gold leaf on prepared (stiffened) patterned silk","Pen and black ink over black chalk or graphite, gouache and gold leaf on prepared (stiffened) patterned silk",https://images.metmuseum.org/CRDImages/dp/original/DP860374.jpg,Henri-Charles Guérard,"French, Paris 1846–1897 Paris",,,,
358,1870,,,,1870,,,,,"Drawing from Life, from ""Illustrated London News"" Print Wood engraving",Wood engraving,https://images.metmuseum.org/CRDImages/dp/original/DP861773.jpg,William Hollidge,"British, active 1869–95",,,,
